ID;IdCliente;FechaRecepcion;IdTipoEquipo;RAM;PlacaMadre;MarcaModelo;Microprocesador;Almacenamiento;CdDvd;Fuente;Adicionales;NumSerie;IdTipoServicio;Descripcion;CostoRepuestos;CostoTerceros;CostoCG;CostoTotal;FechaDevolucion;Ganancia;Estado
1;2;28/6/2017 00:00:00;1;-;-;Dell Optiplex GX-280;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;500.0000;500.0000;30/6/2017 00:00:00;500.0000;True;
2;38;16/9/2017 00:00:00;3;-;-;Acer Aspire 3100;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;300.0000;300.0000;16/9/2017 00:00:00;300.0000;True;
3;39;20/9/2017 00:00:00;3;-;-;Admiral FU43N;-;-;-;-;-;-;3;Backup y formateo;0.0000;0.0000;300.0000;300.0000;20/9/2017 00:00:00;300.0000;True;
4;16;6/10/2017 00:00:00;3;-;-;Lenovo T410;-;-;-;-;-;-;3;Limpieza de suciedad general interna y externa.;0.0000;0.0000;200.0000;200.0000;7/10/2017 00:00:00;200.0000;True;
5;16;13/10/2017 00:00:00;4;-;-;Coradir Class;-;-;-;-;-;-;3;Formateo con instalación de S.O. Windows 7 x64 bits y programas conectar igualdad.;740.0000;0.0000;450.0000;1190.0000;13/10/2017 00:00:00;450.0000;True;
6;50;22/6/2018 00:00:00;6;-;-;EPSON L355;-;-;-;-;-;-;3;Cabezal deformado y tintas no originales.;0.0000;3500.0000;1000.0000;4500.0000;19/7/2018 00:00:00;1000.0000;True;
7;16;23/7/2018 00:00:00;3;-;-;HP M7 Smart Touch;-;-;-;-;-;-;3;Recupero de BIOS, formateo con backup y reparación de bisagras de pantalla.;0.0000;1800.0000;700.0000;2500.0000;9/8/2018 00:00:00;700.0000;True;
8;33;28/7/2018 00:00:00;1;-;-;Máxima;-;-;-;-;-;-;3;Formateo c/Backup;0.0000;0.0000;600.0000;600.0000;31/7/2018 00:00:00;600.0000;True;
9;33;28/7/2018 00:00:00;4;-;-;BGH Schoolmate 15TV;-;-;-;-;-;-;3;Cambio de pila.;135.0000;0.0000;465.0000;600.0000;6/8/2018 00:00:00;465.0000;True;
10;33;6/8/2018 00:00:00;1;-;-;Blanco;-;-;-;-;-;-;3;Limpieza de suciedad intern y externa, y remover arranque duplicado.;0.0000;0.0000;200.0000;200.0000;6/8/2018 00:00:00;200.0000;True;
11;16;31/8/2018 00:00:00;3;-;-;HP M7 Smart Touch;-;-;-;-;-;-;3;Restauración de sistema con bakcup y re-instalación de programas.;0.0000;0.0000;200.0000;200.0000;1/9/2018 00:00:00;200.0000;True;
12;32;15/9/2018 00:00:00;1;-;-;Sentey Furious GS-6062;-;-;-;-;-;-;1;Armado de CPU. Instalació de windows, programas básicos y Nero.;14410.0000;0.0000;1000.0000;15410.0000;19/9/2018 00:00:00;1000.0000;True;
13;24;29/9/2018 00:00:00;1;-;-;Genérico Negro;-;-;-;-;-;-;3;Limpieza de suciedad interna incluyendo componentes. Colocación de grasa siliconada nueva en GPU y CPU. Verificación de voltaje de pila.;0.0000;0.0000;500.0000;500.0000;29/9/2018 00:00:00;500.0000;True;
14;57;8/10/2018 00:00:00;3;-;-;Lenovo T410;-;-;-;-;-;-;3;Cambio de placa madre.;0.0000;1200.0000;300.0000;1500.0000;16/11/2018 00:00:00;300.0000;True;
15;32;18/10/2018 00:00:00;1;-;-;Sentey Furious GS-6062;-;-;-;-;-;-;3;Restauración de sistema al punto antes de la actualización.;0.0000;0.0000;200.0000;200.0000;18/10/2018 00:00:00;200.0000;True;
16;15;2/11/2018 00:00:00;3;-;-;Compaq Presario CQ42;-;-;-;-;-;-;3;Reparación de placa de encendido y reseteo de BIOS. Cambio de grasa siliconada y verificiación pila CR2032 (2,84v). Formateo (win7 ultimate 32 bits).;0.0000;1100.0000;900.0000;2000.0000;22/12/2018 00:00:00;900.0000;True;
17;36;3/11/2018 00:00:00;1;-;-;Super Power;-;-;-;-;-;-;3;Cambio de fuente, cambio de pila de mother y limpieza de suciedad interna.;699.0000;0.0000;250.0000;949.0000;5/11/2018 00:00:00;250.0000;True;
19;23;3/2/2019 00:00:00;13;-;-;Kit DVR + 4 Cam HIK VISION;-;-;-;-;-;-;2;Instalación completa;1000.0000;0.0000;2500.0000;3500.0000;3/2/2019 00:00:00;2500.0000;True;
20;54;6/2/2019 00:00:00;3;-;-;Asus S510u;-;-;-;-;-;-;3;Cambio de display y flex.;4172.0000;0.0000;828.0000;5000.0000;11/2/2019 00:00:00;828.0000;True;
21;62;15/5/2019 00:00:00;4;-;-;Acer Aspire One D255;-;-;-;-;-;-;3;Cambio de display - Chequeo general - Limpieza de sofware;0.0000;2790.0000;1010.0000;3800.0000;31/5/2019 00:00:00;1010.0000;True;
22;62;15/5/2019 00:00:00;3;-;-;HP Pavilion Dv5;-;-;-;-;-;-;3;Cambio de diplay - Chequeo general - Limpieza de software;0.0000;4000.0000;1100.0000;5100.0000;31/5/2019 00:00:00;1100.0000;True;
23;22;1/6/2019 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Cambio de lugar de una cámara previamente ya instalada.;1780.0000;0.0000;2250.0000;4030.0000;1/6/2019 00:00:00;2250.0000;True;
